Country Name,Country Code,Indicator Name,Indicator Code,2019
"Micronesia, Fed. Sts.",FSM,CO2 emissions (kt),EN.ATM.CO2E.KT,180
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,5250
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,348920
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,10110
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,20040
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,3950
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,580
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,330
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,5350
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,60000
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,330
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,19310
Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,2850
High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,12125558
"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,
Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,10220
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,228720
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,16520
Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,3320
Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,46380
IBRD only,IBD,CO2 emissions (kt),EN.ATM.CO2E.KT,21522420
IDA & IBRD total,IBT,CO2 emissions (kt),EN.ATM.CO2E.KT,22442416
IDA total,IDA,CO2 emissions (kt),EN.ATM.CO2E.KT,917685
IDA blend,IDB,CO2 emissions (kt),EN.ATM.CO2E.KT,485070
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,619840
IDA only,IDX,CO2 emissions (kt),EN.ATM.CO2E.KT,432463
